ticker,first_trade_date,last_trade_date,buy_count,sell_count,net_trade_count,currently_held
ACN,2024-01-02,2025-12-19,2,1,1,True
ADBE,2024-01-02,2025-01-10,2,1,1,True
AMGN,2024-01-02,2025-01-10,2,1,1,True
BKNG,2024-01-02,2025-01-10,1,1,0,False
BMY,2024-01-02,2025-01-10,1,1,0,False
BTI,2024-01-02,2025-12-19,2,1,1,True
BUD,2024-01-02,2025-01-10,2,1,1,True
CMCSA,2024-01-02,2025-01-10,2,1,1,True
CSCO,2024-01-02,2025-01-10,1,1,0,False
EQNR,2024-01-02,2025-01-10,2,1,1,True
GILD,2024-01-02,2025-01-10,1,1,0,False
IBM,2024-01-02,2025-01-10,1,1,0,False
JNJ,2024-01-02,2025-01-10,2,1,1,True
MRK,2024-01-02,2025-01-10,2,1,1,True
NVO,2024-01-02,2025-01-10,2,1,1,True
NVS,2024-01-02,2025-01-10,1,1,0,False
PG,2024-01-02,2025-01-10,1,1,0,False
PM,2024-01-02,2025-01-10,1,1,0,False
QCOM,2024-01-02,2025-01-10,1,1,0,False
SAP,2024-01-02,2025-01-10,1,1,0,False
AAPL,2024-12-27,2024-12-27,1,0,1,True
AZN,2024-12-27,2024-12-27,1,0,1,True
HD,2024-12-27,2025-12-19,1,1,0,False
KO,2024-12-27,2024-12-27,1,0,1,True
LOW,2024-12-27,2025-12-19,1,1,0,False
SNY,2024-12-27,2024-12-27,1,0,1,True
TSM,2024-12-27,2024-12-27,1,0,1,True
UBER,2024-12-27,2024-12-27,1,0,1,True
DIS,2025-01-10,2025-01-10,1,0,1,True
INTU,2025-01-10,2025-01-10,1,0,1,True
PH,2025-01-10,2025-01-10,1,0,1,True
TM,2025-01-10,2025-01-10,1,0,1,True
