ticker,company_name,sector,industry,market_cap,ebit,net_working_capital,enterprise_value,return_on_capital,earnings_yield,momentum_6m,roc_rank,ey_rank,momentum_rank,composite_score,final_score
ADBE,Adobe Inc.,Technology,Software - Application,103689183232.0,8997000000.0,-37000000.0,104906183232.0,4.18854748603352,0.08576234234070966,,4,17,,21,21
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,129746509824.0,11786000000.0,-1840000000.0,161543509824.0,4.459326522890654,0.07295867232822122,,3,24,,27,27
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,169043099648.0,134747000000.0,-43208000000.0,273537099648.0,0.8158079554398499,0.49260959545669886,,35,2,,37,37
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,83724926976.0,5766000000.0,1973900000.0,89442526976.0,1.9198241992408605,0.06446597826498332,,7,36,,43,43
ACN,Accenture plc,Technology,Information Technology Services,122384408576.0,10498948000.0,8548592000.0,120134066576.0,0.8167027309464192,0.0873935953325786,,34,16,,50,50
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,142026063872.0,15343000000.0,-9706000000.0,213970063872.0,1.0991475034028226,0.07170629256426453,,25,26,,51,51
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,353395867648.0,21074000000.0,-10666000000.0,380351867648.0,1.5927745446300354,0.055406590035475045,,11,49,,60,60
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,140640174080.0,13327000000.0,16610000000.0,149931174080.0,0.6256807511737089,0.08888745173761531,,47,15,,62,62
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,138189750272.0,8449000000.0,5566000000.0,140279750272.0,1.206138472519629,0.060229648139646215,,20,43,,63,63
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,119785381888.0,11219000000.0,5973000000.0,156748381888.0,0.7430785534507882,0.0715733066260053,,37,27,,64,64
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,587412865024.0,33552000000.0,1498000000.0,615636865024.0,1.3601978351643897,0.054499660280564924,,16,52,,68,68
CMCSA,Comcast Corporation,Communication Services,Telecom Services,110337130496.0,30175000000.0,-3957000000.0,200266130496.0,0.48887772791341966,0.15067450459678552,,63,5,,68,68
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,271484911616.0,15467000000.0,-1064000000.0,317413911616.0,2.109232237828992,0.04872817300683285,,6,64,,70,70
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,298292084736.0,17496000000.0,3182000000.0,322652084736.0,1.1263035921205098,0.05422559105519357,,23,55,,78,78
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,87261552640.0,32043000000.0,17146000000.0,111491552640.0,0.4338812760656448,0.28740293987532006,,77,3,,80,80
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,286748016640.0,22424000000.0,15189000000.0,321578016640.0,0.5536106653499568,0.06973113471591315,,52,29,,81,81
SAP,SAP SE,Technology,Software - Application,223493062656.0,10762000000.0,2840000000.0,223237062656.0,1.466812048521194,0.048208840736199084,,13,69,,82,82
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,76750544896.0,4258000000.0,1074000000.0,85111544896.0,1.1834352418010006,0.050028465647086545,,21,63,,84,84
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,180123910144.0,10820000000.0,6529000000.0,197411910144.0,0.8916357643180882,0.054809256402551736,,33,51,,84,84
IBM,International Business Machines Corporation,Technology,Information Technology Services,231750778880.0,12263000000.0,-1714000000.0,282863778880.0,1.6766475252939568,0.04335302331233566,,8,82,,90,90
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,197703057408.0,11731000000.0,3568000000.0,243178057408.0,1.0217751066980227,0.04824037219903409,,27,68,,95,95
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,1758795530240.0,2054033227000.0,2359111528000.0,96721118240.0,0.3370101036918457,21.236657147647964,,100,1,,101,101
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,333288669184.0,17652000000.0,9763000000.0,370616669184.0,0.9110239471511148,0.047628726573105955,,32,70,,102,102
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,308560723968.0,12693000000.0,-78000000.0,328307723968.0,6.237346437346438,0.03866189880210427,,1,102,,103,103
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,339335020544.0,21727000000.0,3022000000.0,399966020544.0,0.567047708529074,0.054322114589756325,,51,53,,104,104
